uid,hotspot_0,hotspot_1,hotspot_2
3080,26,-1,-1
3095,26,-1,-1
3096,26,-1,-1
3105,26,-1,-1
3107,26,-1,-1
3112,26,-1,-1
3129,26,-1,-1
3139,26,-1,-1
3140,26,-1,-1
3141,26,-1,-1
3151,26,-1,-1
3153,26,-1,-1
3165,26,-1,-1
3173,26,13,6
3178,26,-1,-1
3190,26,22,20
3205,26,-1,-1
3210,26,-1,-1
3212,26,-1,-1
3218,26,-1,-1
3245,26,-1,-1
3266,26,-1,-1
3270,26,-1,-1
3283,26,15,-1
3297,26,-1,-1
3298,26,-1,-1
3315,26,-1,-1
3319,26,-1,-1
3349,26,-1,-1
3376,26,-1,-1
3382,26,-1,-1
3385,26,22,-1
3386,26,-1,-1
3395,26,-1,-1
3402,26,-1,-1
3406,26,-1,-1
3414,26,-1,-1
3416,26,-1,-1
3422,26,-1,-1
3457,26,-1,-1
3459,26,14,-1
3464,26,-1,-1
3473,26,-1,-1
3474,26,-1,-1
3477,26,-1,-1
3481,26,-1,-1
3488,26,13,-1
3490,26,-1,-1
3491,26,-1,-1
3514,26,-1,-1
3524,26,23,-1
3532,26,-1,-1
3534,26,-1,-1
3554,26,-1,-1
3564,26,-1,-1
3571,26,-1,-1
3572,26,-1,-1
3579,26,-1,-1
3584,26,-1,-1
3585,26,-1,-1
3593,26,-1,-1
3603,26,-1,-1
3612,26,-1,-1
3617,26,13,-1
3626,26,-1,-1
3633,26,-1,-1
3650,26,-1,-1
3666,26,-1,-1
3673,26,-1,-1
3687,26,-1,-1
3702,26,-1,-1
3721,26,-1,-1
3724,26,-1,-1
3728,26,-1,-1
3729,26,-1,-1
3734,26,-1,-1
3739,26,-1,-1
3751,26,-1,-1
3752,26,-1,-1
3762,26,-1,-1
3764,26,-1,-1
3769,26,-1,-1
3770,26,-1,-1
3777,26,-1,-1
3788,26,-1,-1
3830,26,-1,-1
3834,26,-1,-1
3846,26,-1,-1
3876,26,-1,-1
3890,26,-1,-1
3900,26,19,-1
3913,26,10,-1
3927,26,-1,-1
3943,26,-1,-1
3947,26,13,-1
3955,26,23,-1
3980,26,-1,-1
4006,26,-1,-1
4017,26,-1,-1
4019,26,-1,-1
4026,26,-1,-1
4043,26,-1,-1
4048,26,-1,-1
4061,26,-1,-1
4062,26,-1,-1
4077,26,-1,-1
4090,26,13,-1
4093,26,-1,-1
4119,26,-1,-1
4120,26,-1,-1
4124,26,-1,-1
4151,26,-1,-1
4164,26,-1,-1
4196,26,-1,-1
4216,26,15,-1
4220,26,10,-1
4235,26,-1,-1
4243,26,-1,-1
4273,26,-1,-1
4281,26,13,6
4282,26,-1,-1
4286,26,-1,-1
4289,26,-1,-1
4299,26,-1,-1
4301,26,-1,-1
4306,26,-1,-1
4323,26,-1,-1
4331,26,-1,-1
4377,26,-1,-1
4381,26,-1,-1
4382,26,-1,-1
4383,26,-1,-1
4386,26,-1,-1
4388,26,-1,-1
4396,26,-1,-1
4407,26,-1,-1
4415,26,-1,-1
4419,26,-1,-1
4423,26,-1,-1
4424,26,-1,-1
4425,26,23,-1
4426,26,-1,-1
4435,26,-1,-1
4453,26,-1,-1
4460,26,-1,-1
4468,26,-1,-1
4475,26,-1,-1
4484,26,-1,-1
4499,26,2,-1
4528,26,-1,-1
4546,26,-1,-1
4592,26,-1,-1
4593,26,-1,-1
4604,26,-1,-1
4616,26,-1,-1
4618,26,16,-1
4649,26,-1,-1
4656,26,-1,-1
4665,26,-1,-1
4667,26,-1,-1
4676,26,-1,-1
4681,26,10,-1
4703,26,-1,-1
4742,26,-1,-1
4754,26,-1,-1
4766,26,-1,-1
4770,26,-1,-1
4783,26,-1,-1
4788,26,-1,-1
4802,26,-1,-1
4807,26,-1,-1
4808,26,-1,-1
4811,26,-1,-1
4826,26,-1,-1
4832,26,-1,-1
4833,26,-1,-1
4840,26,-1,-1
4884,26,-1,-1
4896,26,-1,-1
4897,26,-1,-1
4911,26,-1,-1
4930,26,-1,-1
4932,26,-1,-1
4940,26,-1,-1
4958,26,-1,-1
4959,26,-1,-1
4969,26,-1,-1
4970,26,-1,-1
4979,26,-1,-1
5021,26,-1,-1
5024,26,-1,-1
5041,26,4,-1
5050,26,-1,-1
5065,26,22,-1
5066,26,-1,-1
5083,26,-1,-1
5100,26,-1,-1
5105,26,-1,-1
5120,26,-1,-1
5122,26,-1,-1
5127,26,-1,-1
5158,26,-1,-1
5165,26,-1,-1
5174,26,-1,-1
5239,26,-1,-1
5240,26,-1,-1
5255,26,-1,-1
5284,26,13,-1
5288,26,-1,-1
5302,26,-1,-1
5309,26,-1,-1
5325,26,-1,-1
5330,26,-1,-1
5331,26,-1,-1
5334,26,-1,-1
5337,26,-1,-1
5338,26,-1,-1
5364,26,-1,-1
5366,26,-1,-1
5368,26,22,21
5371,26,-1,-1
5382,26,-1,-1
5387,26,-1,-1
5389,26,-1,-1
5397,26,-1,-1
5401,26,-1,-1
5420,26,-1,-1
5425,26,11,10
5435,26,3,6
5481,26,-1,-1
5490,26,-1,-1
5499,26,-1,-1
5509,26,-1,-1
5525,26,-1,-1
5537,26,-1,-1
5596,26,-1,-1
5601,26,-1,-1
5606,26,-1,-1
5609,26,-1,-1
5610,26,-1,-1
5624,26,-1,-1
5625,26,-1,-1
5626,26,-1,-1
5632,26,-1,-1
5643,26,-1,-1
5648,26,-1,-1
5660,26,-1,-1
5672,26,-1,-1
5674,26,-1,-1
5689,26,-1,-1
5694,26,-1,-1
5708,26,-1,-1
5715,26,-1,-1
5720,26,-1,-1
5727,26,-1,-1
5731,26,-1,-1
5744,26,-1,-1
5750,26,-1,-1
5779,26,-1,-1
5786,26,13,-1
5787,26,-1,-1
5791,26,-1,-1
5802,26,-1,-1
5805,26,-1,-1
5815,26,13,7
5819,26,-1,-1
5821,26,-1,-1
5841,26,-1,-1
5849,26,-1,-1
5853,26,-1,-1
5855,26,-1,-1
5858,26,-1,-1
5900,26,-1,-1
5911,26,-1,-1
5925,26,-1,-1
5947,26,-1,-1
5963,26,-1,-1
5966,26,-1,-1
5967,26,-1,-1
5968,26,-1,-1
5973,26,21,-1
5977,26,-1,-1
5992,26,-1,-1
6010,26,-1,-1
6030,26,-1,-1
6031,26,-1,-1
6045,26,-1,-1
6054,26,-1,-1
6055,26,-1,-1
6065,26,-1,-1
6075,26,-1,-1
6082,26,-1,-1
6134,26,-1,-1
6147,26,-1,-1
6150,26,-1,-1
6170,26,-1,-1
6176,26,-1,-1
6239,26,-1,-1
6241,26,-1,-1
6248,26,-1,-1
6276,26,-1,-1
6297,26,-1,-1
6318,26,15,-1
6328,26,-1,-1
6348,26,-1,-1
6353,26,-1,-1
6364,26,-1,-1
6365,26,-1,-1
6376,26,-1,-1
6377,26,10,16
6379,26,-1,-1
6386,26,-1,-1
6403,26,-1,-1
6407,26,-1,-1
6409,26,-1,-1
6411,26,10,-1
6414,26,-1,-1
6416,26,-1,-1
6421,26,-1,-1
6427,26,-1,-1
6446,26,-1,-1
6456,26,-1,-1
6457,26,-1,-1
6463,26,23,-1
6466,26,-1,-1
6477,26,-1,-1
6479,26,-1,-1
6482,26,-1,-1
6484,26,-1,-1
6489,26,-1,-1
6509,26,-1,-1
6514,26,-1,-1
6516,26,-1,-1
6517,26,-1,-1
6529,26,-1,-1
6533,26,-1,-1
6560,26,-1,-1
6561,26,-1,-1
6579,26,-1,-1
6585,26,-1,-1
6590,26,-1,-1
6595,26,-1,-1
6606,26,-1,-1
6610,26,-1,-1
6621,26,-1,-1
6625,26,-1,-1
6637,26,-1,-1
6648,26,-1,-1
6652,26,-1,-1
6656,26,-1,-1
6668,26,-1,-1
6671,26,-1,-1
6674,26,-1,-1
6678,26,-1,-1
6682,26,-1,-1
6684,26,-1,-1
6690,26,-1,-1
6703,26,-1,-1
6709,26,-1,-1
6725,26,13,12
6728,26,-1,-1
6729,26,-1,-1
6738,26,-1,-1
6761,26,-1,-1
6778,26,-1,-1
6783,26,-1,-1
6789,26,-1,-1
6790,26,-1,-1
6808,26,-1,-1
6840,26,23,-1
6842,26,-1,-1
6843,26,-1,-1
6844,26,10,-1
6848,26,-1,-1
6861,26,-1,-1
6869,26,-1,-1
6878,26,-1,-1
6905,26,-1,-1
6918,26,23,-1
6922,26,13,9
6928,26,-1,-1
6947,26,-1,-1
6957,26,-1,-1
6961,26,-1,-1
6970,26,-1,-1
7006,26,-1,-1
7015,26,-1,-1
7029,26,-1,-1
7034,26,-1,-1
7035,26,-1,-1
7043,26,-1,-1
7050,26,-1,-1
7073,26,-1,-1
7090,26,-1,-1
7094,26,-1,-1
7099,26,-1,-1
7113,26,-1,-1
7132,26,-1,-1
7134,26,-1,-1
7137,26,-1,-1
7139,26,-1,-1
7143,26,-1,-1
7178,26,-1,-1
7181,26,-1,-1
7183,26,-1,-1
7189,26,-1,-1
7199,26,-1,-1
7206,26,-1,-1
7215,26,-1,-1
7229,26,-1,-1
7234,26,-1,-1
7272,26,-1,-1
7275,26,-1,-1
7276,26,13,16
7277,26,-1,-1
7289,26,-1,-1
7310,26,-1,-1
7327,26,-1,-1
7343,26,-1,-1
7400,26,-1,-1
7409,26,-1,-1
7414,26,23,-1
7423,26,-1,-1
7461,26,-1,-1
7464,26,-1,-1
7465,26,-1,-1
7472,26,-1,-1
7482,26,-1,-1
7496,26,-1,-1
7509,26,-1,-1
7510,26,13,23
7515,26,-1,-1
7522,26,-1,-1
7533,26,-1,-1
7541,26,-1,-1
7553,26,-1,-1
7563,26,-1,-1
7580,26,-1,-1
7586,26,-1,-1
7625,26,-1,-1
7626,26,-1,-1
7629,26,-1,-1
7633,26,-1,-1
7641,26,-1,-1
7654,26,-1,-1
7659,26,-1,-1
7684,26,-1,-1
7686,26,-1,-1
7687,26,-1,-1
7691,26,-1,-1
7710,26,-1,-1
7711,26,-1,-1
7715,26,-1,-1
7730,26,-1,-1
7755,26,-1,-1
7809,26,-1,-1
7819,26,-1,-1
7831,26,-1,-1
7832,26,10,-1
7838,26,-1,-1
7849,26,-1,-1
7851,26,-1,-1
7854,26,-1,-1
7861,26,-1,-1
7869,26,-1,-1
7908,26,20,-1
7909,26,-1,-1
7917,26,-1,-1
7930,26,-1,-1
7940,26,-1,-1
7945,26,-1,-1
7963,26,-1,-1
7971,26,-1,-1
7987,26,-1,-1
7996,26,-1,-1
8016,26,13,6
8029,26,-1,-1
8038,26,-1,-1
8044,26,-1,-1
8051,26,-1,-1
8056,26,-1,-1
8068,26,-1,-1
8084,26,-1,-1
8106,26,-1,-1
8114,26,-1,-1
8130,26,25,-1
8173,26,-1,-1
8174,26,-1,-1
8177,26,-1,-1
